,0
A1BG,True
A1BG-AS1,True
A1CF,False
A2M,True
A2M-AS1,True
A2ML1,True
A2MP1,False
A4GALT,True
A4GNT,False
AA06,True
AAAS,True
AACS,True
AACSP1,False
AADAC,True
AADACL2,True
AADACL3,True
AADACL4,False
AADAT,True
AAED1,True
AAGAB,True
AAK1,True
AAMDC,True
AAMP,True
AANAT,True
AAR2,True
AARD,True
AARS,True
AARS2,True
AARSD1,True
AASDH,True
AASDHPPT,False
AASS,True
AATF,True
AATK,False
AATK-AS1,True
ABAT,True
ABCA1,True
ABCA10,True
ABCA11P,False
ABCA12,True
ABCA13,True
ABCA17P,True
ABCA2,True
ABCA3,True
ABCA4,True
ABCA5,True
ABCA6,True
ABCA7,True
ABCA8,False
ABCA9,True
ABCB1,False
ABCB10,True
ABCB11,False
ABCB4,True
ABCB5,False
ABCB6,True
ABCB8,True
ABCB9,True
ABCC1,True
ABCC10,True
ABCC11,True
ABCC12,True
ABCC13,False
ABCC2,True
ABCC3,True
ABCC4,True
ABCC5,True
ABCC5-AS1,True
ABCC6,False
ABCC6P1,False
ABCC6P2,False
ABCC8,True
ABCC9,False
ABCD2,True
ABCD3,True
ABCD4,True
ABCE1,False
ABCF1,True
ABCF2,True
ABCF3,True
ABCG1,True
ABCG2,True
ABCG4,True
ABCG5,True
ABCG8,True
ABHD1,True
ABHD10,True
ABHD11,True
ABHD12,True
ABHD12B,True
ABHD13,True
ABHD14A,True
ABHD14A-ACY1,True
ABHD14B,True
ABHD15,True
ABHD16A,True
ABHD16B,True
ABHD2,True
ABHD3,True
ABHD4,True
ABHD5,True
ABHD6,True
ABHD8,True
ABI1,True
ABI2,True
ABI3,True
ABI3BP,True
ABL1,True
ABL2,True
ABLIM1,True
ABLIM2,True
ABLIM3,True
ABO,False
ABP1,False
ABR,True
ABRA,True
ABRACL,True
ABT1,True
ABTB1,True
ABTB2,True
ACAA1,True
ACAA2,True
ACACA,True
ACACB,True
ACAD10,True
ACAD11,False
ACAD8,True
ACAD9,True
ACADL,True
ACADM,True
ACADS,True
ACADSB,True
ACADVL,True
ACAN,True
ACAP1,True
ACAP2,True
ACAP3,True
ACAT1,True
ACAT2,True
ACBD3,True
ACBD4,True
ACBD5,True
ACBD6,True
ACBD7,True
ACCS,True
ACCSL,True
ACD,True
ACE,True
ACER1,False
ACER2,True
ACER3,True
ACHE,True
ACIN1,True
ACLY,True
ACMSD,True
ACN9,True
ACO1,True
ACO2,True
ACOT1,True
ACOT11,True
ACOT12,True
ACOT13,True
ACOT2,True
ACOT4,True
ACOT6,True
ACOT7,True
ACOT8,True
ACOX1,True
ACOX2,True
ACOX3,True
ACOXL,False
ACP1,True
ACP2,True
ACP5,True
ACP6,True
ACPL2,True
ACPP,True
ACPT,True
ACR,True
ACRBP,True
ACRV1,False
ACSBG1,False
ACSBG2,True
ACSF2,True
ACSF3,True
ACSL1,True
ACSL3,True
ACSL5,True
ACSL6,True
ACSM1,True
ACSM2A,False
ACSM2B,False
ACSM3,True
ACSM4,False
ACSM5,True
ACSS1,True
ACSS2,True
ACSS3,True
ACTA1,True
ACTA2,False
ACTB,True
ACTBL2,True
ACTC1,True
ACTG1,True
ACTG1P4,True
ACTG2,True
ACTL10,True
ACTL6A,True
ACTL6B,True
ACTL7A,False
ACTL7B,False
ACTL8,True
ACTL9,True
ACTN1,True
ACTN1-AS1,True
ACTN2,True
ACTN3,True
ACTN4,True
ACTR10,True
ACTR1A,True
ACTR1B,True
ACTR2,True
ACTR3,True
ACTR3B,True
ACTR3BP2,False
ACTR3BP5,False
ACTR3C,True
ACTR5,True
ACTR6,True
ACTR8,True
ACTRT2,False
ACTRT3,True
ACVR1,True
ACVR1B,True
ACVR1C,True
ACVR2A,True
ACVR2B,True
ACVR2B-AS1,True
ACVRL1,True
ACY1,True
ACY3,False
ACYP1,True
ACYP2,True
ADA,True
ADAD1,False
ADAD2,True
ADAL,True
ADAM10,True
ADAM11,True
ADAM12,True
ADAM15,True
ADAM17,True
ADAM18,True
ADAM19,True
ADAM1A,False
ADAM2,False
ADAM20,False
ADAM20P1,False
ADAM21,True
ADAM21P1,False
ADAM22,True
ADAM23,True
ADAM28,True
ADAM29,False
ADAM30,False
ADAM32,True
ADAM33,True
ADAM3A,False
ADAM5,False
ADAM6,False
ADAM7,False
ADAM8,True
ADAM9,True
ADAMDEC1,False
ADAMTS1,True
ADAMTS10,True
ADAMTS12,True
ADAMTS13,True
ADAMTS14,True
ADAMTS15,True
ADAMTS16,True
ADAMTS17,True
ADAMTS18,False
ADAMTS19,True
ADAMTS2,True
ADAMTS20,True
ADAMTS3,True
ADAMTS4,True
ADAMTS5,True
ADAMTS6,True
ADAMTS7,True
ADAMTS8,True
ADAMTS9,True
ADAMTS9-AS2,True
ADAMTSL1,True
ADAMTSL2,True
ADAMTSL3,True
ADAMTSL4,True
ADAMTSL5,True
ADAP1,True
ADAP2,True
ADAR,True
ADARB1,True
ADARB2,False
ADARB2-AS1,True
ADAT1,True
ADAT2,True
ADAT3,True
ADC,True
ADCK1,True
ADCK2,True
ADCK3,True
ADCK4,True
ADCK5,True
ADCY1,True
ADCY10,False
ADCY10P1,True
ADCY2,True
ADCY3,True
ADCY4,True
ADCY5,True
ADCY6,True
ADCY7,True
ADCY8,True
ADCY9,True
ADCYAP1,True
ADCYAP1R1,False
ADD1,True
ADD2,True
ADD3,True
ADGB,True
ADH1A,True
ADH1B,True
ADH1C,False
ADH4,True
ADH5,True
ADH6,True
ADH7,True
ADHFE1,True
ADI1,True
ADIG,True
ADIPOQ,True
ADIPOQ-AS1,True
ADIPOR1,True
ADIPOR2,True
ADIRF,True
ADK,True
ADM,True
ADM2,True
ADM5,True
ADNP,True
ADNP2,True
ADO,True
ADORA1,True
ADORA2A,True
ADORA2A-AS1,True
ADORA2B,True
ADORA3,True
ADPGK,True
ADPGK-AS1,False
ADPRH,True
ADPRHL1,True
ADPRHL2,True
ADPRM,True
ADRA1A,True
ADRA1B,True
ADRA1D,True
ADRA2A,True
ADRA2B,True
ADRA2C,True
ADRB1,True
ADRB2,True
ADRB3,True
ADRBK1,True
ADRBK2,True
ADRM1,True
ADSL,True
ADSS,True
ADSSL1,True
ADTRP,True
AEBP1,True
AEBP2,True
AEN,True
AES,True
AFAP1,True
AFAP1-AS1,True
AFAP1L1,True
AFAP1L2,True
AFF1,True
AFF3,True
AFF4,True
AFG3L1P,True
AFG3L2,True
AFM,False
AFMID,True
AFP,True
AFTPH,True
AGA,True
AGAP1,True
AGAP11,True
AGAP2,True
AGAP3,True
AGAP4,False
AGAP5,False
AGAP6,False
AGAP7,True
AGAP8,False
AGAP9,False
AGBL1,False
AGBL2,True
AGBL3,True
AGBL4,True
AGBL5,True
AGER,True
AGFG1,True
AGFG2,True
AGGF1,True
AGK,True
AGL,True
AGMAT,True
AGMO,True
AGO1,True
AGO2,True
AGO3,True
AGO4,True
AGPAT1,True
AGPAT2,True
AGPAT3,True
AGPAT4,True
AGPAT4-IT1,True
AGPAT5,True
AGPAT6,True
AGPAT9,True
AGPHD1,True
AGPS,True
AGR2,True
AGR3,False
AGRN,True
AGRP,True
AGT,True
AGTPBP1,True
AGTR1,True
AGTRAP,True
AGXT,True
AGXT2,True
AGXT2L1,True
AGXT2L2,True
AHCTF1,True
AHCTF1P1,False
AHCY,True
AHCYL1,True
AHCYL2,True
AHDC1,True
AHI1,True
AHNAK,True
AHNAK2,True
AHR,True
AHRR,True
AHSA1,True
AHSA2,True
AHSG,True
AHSP,True
AICDA,True
AIDA,True
AIF1,True
AIF1L,True
AIFM2,True
AIFM3,True
AIG1,True
AIM1,True
AIM1L,True
AIM2,True
AIMP1,True
AIMP2,True
AIP,True
AIPL1,True
AIRE,True
AIRN,True
AJAP1,True
AJUBA,True
AK1,True
AK2,True
AK3,True
AK4,True
AK5,True
AK7,True
AK8,True
AKAP1,True
AKAP10,True
AKAP11,True
AKAP12,True
AKAP13,True
AKAP2,True
AKAP3,True
AKAP5,True
AKAP6,True
AKAP7,True
AKAP8,True
AKAP8L,True
AKAP9,True
AKIP1,True
AKIRIN1,True
AKIRIN2,True
AKNA,True
AKNAD1,True
AKR1A1,True
AKR1B1,True
AKR1B10,True
AKR1B15,True
AKR1C1,True
AKR1C2,True
AKR1C3,True
AKR1C4,True
AKR1C6P,False
AKR1CL1,False
AKR1D1,False
AKR1E2,True
AKR7A2,True
AKR7A2P1,True
AKR7A3,True
AKR7L,True
AKT1,True
AKT1S1,True
AKT2,True
AKT3,True
AKTIP,True
ALAD,True
ALAS1,True
ALB,False
ALCAM,True
ALDH16A1,True
ALDH18A1,True
ALDH1A1,True
ALDH1A2,True
ALDH1A3,True
ALDH1B1,True
ALDH1L1,True
ALDH1L1-AS1,True
ALDH1L1-AS2,True
ALDH1L2,True
ALDH2,True
ALDH3A1,True
ALDH3A2,True
ALDH3B1,True
ALDH3B2,False
ALDH4A1,True
ALDH5A1,True
ALDH6A1,True
ALDH7A1,True
ALDH8A1,False
ALDH9A1,True
ALDOA,True
ALDOB,False
ALDOC,True
ALG1,True
ALG10,True
ALG10B,True
ALG11,True
ALG12,True
ALG14,True
ALG1L,True
ALG1L2,False
ALG1L9P,True
ALG2,True
ALG3,True
ALG5,True
ALG6,True
ALG8,True
ALG9,True
ALK,True
ALKBH1,True
ALKBH2,True
ALKBH3,True
ALKBH4,True
ALKBH5,True
ALKBH6,True
ALKBH7,True
ALKBH8,True
ALLC,True
ALMS1,True
ALMS1P,True
ALOX12,False
ALOX12B,False
ALOX12P2,False
ALOX15,True
ALOX15B,True
ALOX15P1,False
ALOX5,True
ALOX5AP,True
ALOXE3,True
ALPI,False
ALPK1,True
ALPK2,True
ALPK3,True
ALPL,True
ALPP,False
ALPPL2,False
ALS2,True
ALS2CL,True
ALS2CR11,True
ALS2CR12,True
ALS2CR8,True
ALX1,True
ALX3,True
ALX4,True
ALYREF,True
AMACR,False
AMBN,False
AMBP,True
AMBRA1,True
AMD1,True
AMDHD1,True
AMDHD2,True
AMER2,True
AMER3,True
AMFR,True
AMH,True
AMHR2,True
AMICA1,False
AMIGO1,True
AMIGO2,True
AMIGO3,True
AMMECR1L,True
AMN,True
AMN1,True
AMOTL1,True
AMOTL2,True
AMPD1,True
AMPD2,True
AMPD3,True
AMPH,True
AMT,True
AMTN,False
AMY1A,False
AMY2A,False
AMY2B,True
AMZ1,True
AMZ2,True
AMZ2P1,True
ANAPC1,False
ANAPC10,True
ANAPC11,True
ANAPC13,False
ANAPC15,True
ANAPC16,True
ANAPC1P1,False
ANAPC2,True
ANAPC4,True
ANAPC5,True
ANAPC7,True
ANG,True
ANGEL1,True
ANGEL2,True
ANGPT1,True
ANGPT2,True
ANGPT4,True
ANGPTL1,False
ANGPTL2,True
ANGPTL3,True
ANGPTL4,True
ANGPTL5,False
ANGPTL6,True
ANGPTL7,False
ANHX,False
ANK1,True
ANK2,True
ANK3,True
ANKAR,True
ANKDD1A,True
ANKDD1B,True
ANKEF1,False
ANKFN1,False
ANKFY1,True
ANKH,True
ANKHD1,True
ANKHD1-EIF4EBP3,True
ANKIB1,True
ANKK1,True
ANKLE1,True
ANKLE2,True
ANKMY1,True
ANKMY2,True
ANKRA2,True
ANKRD1,True
ANKRD10,True
ANKRD11,True
ANKRD12,True
ANKRD13A,True
ANKRD13B,True
ANKRD13C,True
ANKRD13D,True
ANKRD16,True
ANKRD17,True
ANKRD18A,True
ANKRD18B,True
ANKRD18DP,True
ANKRD19P,True
ANKRD2,True
ANKRD20A11P,True
ANKRD20A12P,False
ANKRD20A19P,True
ANKRD20A3,False
ANKRD20A4,True
ANKRD20A5P,True
ANKRD20A8P,True
ANKRD20A9P,False
ANKRD22,True
ANKRD23,True
ANKRD24,True
ANKRD26,True
ANKRD26P1,True
ANKRD26P3,False
ANKRD27,True
ANKRD28,True
ANKRD29,True
ANKRD30A,False
ANKRD30B,False
ANKRD30BL,True
ANKRD30BP2,False
ANKRD30BP3,False
ANKRD31,True
ANKRD32,True
ANKRD33,True
ANKRD33B,True
ANKRD34A,True
ANKRD34B,True
ANKRD34C,True
ANKRD35,True
ANKRD36,True
ANKRD36B,True
ANKRD36BP1,True
ANKRD36BP2,True
ANKRD37,True
ANKRD39,True
ANKRD40,True
ANKRD42,True
ANKRD44,True
ANKRD45,True
ANKRD46,True
ANKRD49,True
ANKRD50,True
ANKRD52,True
ANKRD53,True
ANKRD54,True
ANKRD55,True
ANKRD6,True
ANKRD61,True
ANKRD62P1-PARP4P3,False
ANKRD63,True
ANKRD65,True
ANKRD66,False
ANKRD7,False
ANKRD9,True
ANKS1A,True
ANKS1B,True
ANKS3,True
ANKS4B,False
ANKS6,True
ANKUB1,True
ANKZF1,True
ANLN,True
ANO1,True
ANO10,True
ANO2,True
ANO3,True
ANO4,True
ANO5,True
ANO6,True
ANO7,False
ANO8,True
ANO9,True
ANP32A,True
ANP32A-IT1,True
ANP32AP1,False
ANP32B,True
ANP32C,False
ANP32D,False
ANP32E,True
ANPEP,True
ANTXR1,True
ANTXR2,True
